"Vehicle.Use","Anti.Theft.Device.Indicator","Body.Style","Electric_Vehicle_Indicator","Fleet.Vehicle.Indicator","Fuel.Type","Hybrid.Vehicle.Indicator","Make","Model","Model.Year","Municipality","Owner.Type","Region","Vehicle.Count"
"Personal","No","Twodoorstationwagon","No","No","Gasolineelectric","Yes","TOYOTA","VENZA LE HYBRID 4DR AWD",2022,"Chilliwack","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","TOYOTA","SIENNA LE V6 AWD",2020,"Penticton","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","CHEVROLET","BLAZER LT V6 4DR AWD",2021,"Prince George","Person","North Central",1
"Personal","Yes","Fourdoorsedan","No","No","Gasoline","No","AUDI","S4 TECHNIK 3.0 TFSI QUATTRO 4DR",2020,"Roberts Creek","Person","Lower Mainland",1
"Personal","Yes","Twodoorcoupe","No","No","Gasoline","No","VOLKSWAGEN","BEETLE DUNE 2.0TSI 2DR HATCHBACK",2019,"White Rock","Person","Lower Mainland",1
"Personal","No","Fourdoorstationwagon","No","No","Gasoline","No","TOYOTA","COROLLA CROSS L 4DR AWD",2022,"Kitimat","Person","North Central",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","JEEP","WRANGLER UNLIMITED SAHARA 4DR 4WD",2021,"Langley","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasolineelectric","Yes","CHRYSLER","PACIFICA PINNACLE HYBRID",2022,"Abbotsford","Person","Lower Mainland",1
"Personal","Yes","Fourdoorsedan","Yes","No","Electric","No","CHEVROLET","BOLT EUV PREMIER 4DR 2WD",2023,"New Westminster","Person","Lower Mainland",1
"Personal","Yes","Fourdoorsedan","No","No","Gasoline","No","KIA","FORTE5 EX 5DR",2021,"Kamloops","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasolineelectric","Yes","LEXUS","UX250H 4DR AWD",2024,"Port Moody","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","MAZDA","CX-30 GT 4DR AWD",2020,"Surrey","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","TOYOTA","SIENNA LE V6 AWD",2020,"Vancouver","Person","Lower Mainland",1
"Personal","No","Fourdoorstationwagon","No","No","Gasoline","No","CHEVROLET","EQUINOX LT 2.0T 4DR AWD",2019,"Houston","Person","North Central",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","HONDA","CIVIC SPORT 4DR",2019,"Creston","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","NISSAN","ROGUE SV 4DR AWD",2023,"Surrey","Person","Lower Mainland",1
"Personal","Yes","Hatchback","No","No","Gasoline","No","HYUNDAI","ACCENT ULTIMATE 5DR",2020,"Surrey","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","JEEP","WRANGLER UNLIMITED SAHARA 4DR 4WD",2019,"Peachland","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasolineelectric","Yes","TOYOTA","RAV4 PRIME XSE 4DR AWD",2021,"Abbotsford","Person","Lower Mainland",1
"Personal","Yes","Twodoorconvertible","No","No","Gasoline","No","LEXUS","LC 500 CONVERTIBLE",2022,"Delta","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","CHEVROLET","BLAZER TRUE NORTH 4DR AWD",2021,"Coldwater","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","MAZDA","CX-5 KURO 4DR AWD",2024,"Oliver","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","NISSAN","ROGUE SV 4DR AWD",2023,"White Rock","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","HONDA","HR-V LX 4DR AWD",2019,"Abbotsford","Person","Lower Mainland",1
"Personal","No","Fourdoorsedan","No","No","Gasoline","No","KIA","FORTE EX+ 4DR",2021,"Surrey","Person","Lower Mainland",1
"Personal","Yes","Fourdoorsedan","No","No","Gasoline","No","CADILLAC","CT5 SPORT 4DR AWD",2022,"White Rock","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","ACURA","INTEGRA TYPE S 4DR HATCHBACK",2024,"Vancouver","Person","Lower Mainland",1
"Personal","No","Hatchback","No","No","Gasoline","No","MAZDA","MAZDA3 SPORT GT 5DR",2021,"Surrey","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","MERCEDES","G63 4DR AWD",2023,"Unknown","Person","Unknown",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","JEEP","CHEROKEE ALTITUDE 4DR 4WD",2023,"Dawson Creek","Person","North Central",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","NISSAN","KICKS SV 4DR 2WD",2022,"North Vancouver","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","DODGE/RAM","JOURNEY SE 4DR 2WD",2019,"Campbell River","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","INFINITI","QX60 SENSORY 4DR AWD",2022,"Vancouver","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","KIA","SELTOS LX 4DR AWD",2023,"Langley","Person","Lower Mainland",1
"Personal","No","Fourdoorstationwagon","No","No","Gasoline","Yes","AUDI","Q5 KOMFORT 45 2.0 TFSI 4DR AWD",2021,"Abbotsford","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","VOLVO","XC40 R-DESIGN T5 4DR AWD",2021,"Port Coquitlam","Person","Lower Mainland",1
"Personal","Yes","Fourdoorsedan","No","No","Gasoline","No","KIA","K5 GT LINE 4DR AWD",2024,"White Rock","Person","Lower Mainland",1
"Personal","No","Fourdoorstationwagon","No","No","Gasoline","No","NISSAN","PATHFINDER SL 4DR 4WD",2023,"Cobble Hill","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","PORSCHE","CAYENNE V6 4DR AWD",2023,"Kelowna","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","JEEP","GLADIATOR RUBICON 4DR 4WD",2022,"North Vancouver","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","VOLKSWAGEN","GOLF HIGHLINE 1.4 TSI 4DR HATCHBACK",2019,"Langley","Person","Lower Mainland",1
"Personal","Yes","Fourdoorsedan","No","No","Gasoline","No","HYUNDAI","SONATA N-LINE 4DR",2021,"Cultus Lake","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","NISSAN","QASHQAI SV 4DR AWD",2019,"Powell River","Person","Vancouver Island",1
"Personal","Yes","Fourdoorsedan","No","No","Gasoline","No","VOLKSWAGEN","JETTA HIGHLINE 1.4 TSI 4DR",2021,"Langford","Person","Vancouver Island",1
"Personal","Yes","Fourdoorfastback","No","No","Gasoline","No","AUDI","A7 TECHNIK 3.0 TFSI QUATTRO 4DR SB",2021,"Vancouver","Person","Lower Mainland",1
"Personal","No","Fourdoorstationwagon","No","No","Gasoline","No","NISSAN","QASHQAI SV 4DR 2WD",2019,"Coquitlam","Person","Lower Mainland",1
"Personal","Yes","Hatchback","No","No","Gasoline","No","SUBARU","CROSSTREK TOURING 5DR AWD",2024,"Langley","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","Yes","No","Electric","No","HYUNDAI","IONIQ 5 PREFERRED LONG RANGE 4DR AWD",2022,"Port Coquitlam","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","GMC","TERRAIN SLT 4DR AWD",2022,"Bella Bella","Person","North Central",1
"Personal","Yes","Fourdoorstationwagon","Yes","No","Electric","No","TESLA","MODEL Y 75D LONG RANGE 4DR AWD",2022,"Ladysmith","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","NISSAN","ROGUE SL 4DR AWD",2019,"Kamloops","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","TOYOTA","RAV4 LIMITED 4DR AWD",2021,"Abbotsford","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","JEEP","COMPASS NORTH 4DR 4WD",2023,"Giscome","Person","North Central",1
"Personal","Yes","Fourdoorsedan","No","No","Gasoline","No","BMW","330I XDRIVE 4DR AWD",2021,"Squamish","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","VOLKSWAGEN","TIGUAN COMFORTLINE 2.0 TSI 4DR AWD",2020,"Notch Hill","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","NISSAN","ROGUE SV 4DR AWD",2020,"Abbotsford","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","JEEP","GRAND CHEROKEE OVERLAND 4DR 4WD",2023,"Chilliwack","Person","Lower Mainland",1
"Personal","Yes","Fourdoorsedan","No","No","Gasoline","No","HYUNDAI","SONATA ESSENTIAL 4DR",2019,"Abbotsford","Person","Lower Mainland",1
"Personal","No","Twodoorstationwagon","No","No","Gasoline","No","BUICK","ENCORE GX ESSENCE 4DR AWD",2023,"Prince George","Person","North Central",1
"Personal","Yes","Fourdoorstationwagon","Yes","No","Electric","No","RIVIAN","R1S LAUNCH 4DR AWD",2023,"Port Albion","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","FORD","BRONCO OUTER BANKS 4DR 4WD",2023,"Victoria","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","MAZDA","CX-5 GS 4DR AWD",2021,"Nanaimo","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","FORD","EXPLORER LIMITED 4DR AWD",2022,"Coquitlam","Person","Lower Mainland",1
"Personal","No","Fourdoorstationwagon","No","No","Gasoline","No","JEEP","WRANGLER RUBICON 4DR 4WD",2023,"Surrey","Person","Lower Mainland",1
"Personal","Yes","Fourdoorsedan","No","No","Gasoline","No","TOYOTA","COROLLA LE 4DR",2019,"Salmon Arm","Person","Southern Interior",1
"Personal","Yes","Twodoorstationwagon","No","No","Gasoline","Yes","MERCEDES-BENZ","GLE53 4DR COUPE AWD",2021,"Vancouver","Person","Lower Mainland",1
"Personal","No","Fourdoorstationwagon","No","No","Gasoline","No","LAND","RANGE ROVER SPORT HSE DYN P525 4DR AWD",2022,"Vancouver","Person","Lower Mainland",1
"Personal","No","Hatchback","Yes","No","Electric","No","SUBARU","SOLTERRA 4DR AWD",2023,"Kamloops","Person","Southern Interior",1
"Personal","No","Fourdoorstationwagon","No","No","Gasoline","No","GMC","TERRAIN SLT 2.0T 4DR AWD",2020,"Mill Bay","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","HYUNDAI","TUCSON ESSENTIAL 4DR 2WD",2021,"Black Creek","Person","Vancouver Island",1
"Personal","No","Fourdoorstationwagon","No","No","Gasoline","No","SUBARU","CROSSTREK TOURING 5DR AWD",2024,"Penticton","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasolineelectric","No","HYUNDAI","SANTA FE PREFERRED 2.0T 4DR AWD",2019,"Surrey","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","MAZDA","CX-5 GS 4DR 2WD",2021,"Squamish","Person","Lower Mainland",1
"Personal","Yes","Fourdoorsedan","No","No","Gasoline","No","ACURA","TLX V6 4DR AWD",2019,"Burnaby","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","KIA","SPORTAGE LX 4DR AWD",2020,"Cherryville","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","NISSAN","KICKS SR 4DR 2WD",2020,"Kamloops","Person","Southern Interior",1
"Personal","Yes","Hatchback","No","No","Gasoline","No","HONDA","CIVIC SPORT TOURING 4DR HATCHBACK",2019,"Sidney","Person","Vancouver Island",1
"Personal","Yes","Fourdoorsedan","Yes","No","Gasoline","No","TESLA","MODEL 3 STANDARD RANGE PLUS 50 4DR",2023,"Surrey","Person","Lower Mainland",1
"Personal","Yes","Hatchback","No","No","Gasolineelectric","Yes","TOYOTA","PRIUS AWD-E 5DR",2019,"Port Moody","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","CHEVROLET","EQUINOX RS 4DR AWD",2024,"Chetwynd","Person","North Central",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","NISSAN","KICKS SV 4DR 2WD",2020,"Lantzville","Person","Vancouver Island",1
"Personal","Yes","Twodoorconvertible","No","No","Gasoline","No","MINI","COOPER CONVERTIBLE",2019,"Columbia Valley","Person","Lower Mainland",1
"Personal","No","Fourdoorsedan","Yes","No","Electric","No","HYUNDAI","IONIQ 6 PREFERRED LONG RANGE 4DR AWD",2023,"Saanich","Person","Vancouver Island",1
"Personal","Yes","Fourdoorsedan","No","No","Gasoline","No","TOYOTA","COROLLA XLE 4DR",2022,"Vancouver","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasolineelectric","Yes","TOYOTA","RAV4 XSE HYBRID 4DR AWD",2021,"Hope","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasolineelectric","Yes","HYUNDAI","IONIQ PREFERRED ELECTRIC PLUS 4DR HATCH",2019,"Surrey","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","HONDA","CR-V TOURING 4DR AWD",2021,"Abbotsford","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","SUBARU","CROSSTREK ONYX 5DR AWD",2024,"Mackenzie","Person","North Central",1
"Personal","Yes","Fourdoorstationwagon","Yes","No","Electric","No","HYUNDAI","KONA PREFERRED ELECTRIC 4DR 2WD",2023,"Hazelton Rural","Person","North Central",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","JEEP","COMPASS SPORT 4DR 4WD",2021,"Kennedy Lake","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","JEEP","GRAND CHEROKEE L LAREDO 4DR 4WD",2022,"Kitimat","Person","North Central",1
"Personal","No","Fourdoorstationwagon","No","No","Gasoline","No","SUBARU","OUTBACK PREMIER XT WAGON AWD",2022,"Castlegar","Person","Southern Interior",1
"Personal","Yes","Hatchback","No","No","Gasoline","No","TOYOTA","COROLLA SE 4DR HATCHBACK",2021,"Chilliwack","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","GMC","TERRAIN SLT 4DR AWD",2024,"Skookumchuck","Person","Southern Interior",1
"Personal","Yes","Hatchback","Yes","No","Electric","No","NISSAN","LEAF S PLUS 5DR",2021,"Richmond","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","NISSAN","QASHQAI S 4DR AWD",2020,"Enderby","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","FORD","EXPLORER ST LINE 4DR AWD",2023,"Vernon","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","FORD","FLEX SEL 4DR AWD",2019,"New Westminster","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","LAND","RANGE ROVER EVOQUE S P250 4DR AWD",2020,"Colwood","Person","Vancouver Island",1
"Personal","Yes","Fourdoorsedan","No","No","Gasoline","No","SUBARU","IMPREZA 2.0I SPORT TECH 4DR AWD",2021,"Vancouver","Person","Lower Mainland",1
"Personal","No","Fourdoorstationwagon","No","No","Gasoline","No","JEEP","CHEROKEE TRAILHAWK 4DR 4WD",2020,"Cumberland","Person","Vancouver Island",1
"Personal","No","Fourdoorsedan","No","No","Gasoline","No","HONDA","CIVIC TOURING 4DR",2022,"Langley","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","Yes","MERCEDES-BENZ","GLE63 S 4DR AWD",2022,"Vancouver","Person","Lower Mainland",1
"Personal","No","Fourdoorstationwagon","No","No","Gasoline","No","MITSUBISHI","ECLIPSE CROSS ES 4DR AWD",2020,"Salt Spring Island","Person","Vancouver Island",1
"Personal","No","Fourdoorstationwagon","No","No","Gasoline","No","MAZDA","CX-5 GS 4DR AWD",2019,"Kelowna","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasolineelectric","Yes","FORD","ESCAPE PHEV 4DR 2WD",2023,"Cobble Hill","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","MITSUBISHI","MIRAGE SE 5DR",2023,"Nanaimo","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","SUBARU","CROSSTREK TOURING 5DR AWD",2022,"Sidney","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasolineelectric","Yes","LEXUS","RX350H 4DR AWD",2024,"Delta","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","Yes","No","Electric","No","HYUNDAI","IONIQ 5 PREFERRED LONG RANGE 4DR 2WD",2022,"Central Saanich","Person","Vancouver Island",1
"Personal","No","Fourdoorstationwagon","No","No","Gasoline","No","BMW","X6 M COMPETITION 4DR AWD",2021,"Kelowna","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","JEEP","CHEROKEE TRAILHAWK 4DR 4WD",2023,"Genelle","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","MAZDA","CX-9 GT 4DR AWD",2019,"Nanaimo","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasolineelectric","Yes","MITSUBISHI","OUTLANDER GT HYBRID 4DR AWD",2020,"Vernon","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","SUBARU","FORESTER 2.5I WAGON AWD",2020,"New Westminster","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","BMW","X4 M40I 4DR AWD",2019,"Surrey","Person","Lower Mainland",1
"Personal","No","Fourdoorstationwagon","No","No","Gasoline","No","BUICK","ENCLAVE PREMIUM 4DR AWD",2023,"New Aiyansh","Person","North Central",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","CHEVROLET","TRAVERSE PREMIER 4DR AWD",2020,"Erickson","Person","Southern Interior",1
"Personal","Yes","Fourdoorcoupe","Yes","No","Electric","No","BMW","I4 EDRIVE40 4DR",2023,"Vancouver","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","KIA","SPORTAGE LX 4DR 2WD",2023,"Anmore","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","LAND","RANGE ROVER AUTOBIO P525 LWB 4DR AWD",2021,"Langley","Person","Lower Mainland",1
"Personal","No","Twodoorstationwagon","No","No","Gasoline","No","FORD","ESCAPE SE 4DR 2WD",2021,"Langford","Person","Vancouver Island",1
"Personal","No","Fourdoorstationwagon","No","No","Gasoline","No","CHEVROLET","TRAVERSE RS 4DR AWD",2020,"Enderby","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","JEEP","CHEROKEE SPORT 4DR 4WD",2022,"Coldstream","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","HONDA","FIT SPORT 5DR",2019,"Summerland","Person","Southern Interior",1
"Personal","No","Fourdoorstationwagon","No","No","Gasoline","No","MAZDA","CX-5 KURO 4DR AWD",2023,"Langley","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","Yes","No","Electric","No","NISSAN","LEAF SV PLUS 5DR",2020,"Richmond","Person","Lower Mainland",1
"Personal","Yes","Hatchback","No","No","Gasoline","No","HYUNDAI","VELOSTER 3DR HATCHBACK",2019,"Chilliwack","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","NISSAN","PATHFINDER PLATINUM 4DR 4WD",2023,"Langford","Person","Vancouver Island",1
"Personal","Yes","Fourdoorcoupe","No","No","Gasoline","No","AUDI","S5 TECHNIK 3.0 TFSI QUATTRO 4DR SB",2022,"Port Coquitlam","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasolineelectric","Yes","HONDA","CR-V TOURING HYBRID 4DR AWD",2024,"Fort Nelson Ir","Person","North Central",1
"Personal","Yes","Hatchback","No","No","Gasoline","No","NISSAN","VERSA NOTE S 5DR",2019,"Vancouver","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","FORD","BRONCO SPORT BADLANDS 4DR AWD",2023,"Dawson Creek","Person","North Central",1
"Personal","No","Fourdoorstationwagon","No","No","Gasoline","No","GMC","ACADIA SLE 2.0T 4DR AWD",2023,"New Aiyansh","Person","North Central",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasolineelectric","Yes","TOYOTA","COROLLA CROSS XSE HYBRID 4DR AWD",2023,"Abbotsford","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","Yes","FORD","EXPLORER LIMITED HYBRID 4DR AWD",2021,"Richmond","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","PORSCHE","MACAN GTS 4DR AWD",2022,"Royston","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","FORD","BRONCO OUTER BANKS 4DR 4WD",2022,"New Westminster","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","MAZDA","CX-5 GX 4DR 2WD",2021,"Coquitlam","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasolineelectric","Yes","LEXUS","NX350H 4DR AWD",2022,"Comox","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","JEEP","WRANGLER UNLIMITED SPORT 4DR 4WD",2021,"Qualicum Beach","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","KIA","TELLURIDE SX LIMITED V6 4DR AWD",2021,"Houston","Person","North Central",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","FORD","EXPEDITION PLATINUM 4DR 4WD",2024,"Abbotsford","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","BUICK","ENCORE GX ESSENCE 4DR AWD",2023,"Fort St John","Person","North Central",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","HYUNDAI","KONA N 4DR 2WD",2023,"Saanich","Person","Vancouver Island",1
"Personal","Yes","Fourdoorsedan","No","No","Gasoline","No","VOLKSWAGEN","JETTA 1.4 TSI 4DR",2019,"Abbotsford","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","NISSAN","PATHFINDER SL 4DR 4WD",2020,"Langford","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","FORD","BRONCO OUTER BANKS 4DR 4WD",2023,"Kamloops","Person","Southern Interior",1
"Personal","No","Fourdoorstationwagon","No","No","Gasoline","No","HONDA","PASSPORT TOURING 4DR AWD",2021,"Unknown","Person","Unknown",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","HONDA","HR-V TOURING 4DR AWD",2021,"Ladysmith","Person","Vancouver Island",1
"Personal","No","Twodoorstationwagon","No","No","Gasoline","No","CHEVROLET","TRAVERSE PREMIER 4DR AWD",2019,"Richmond","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasolineelectric","Yes","TOYOTA","RAV4 LIMITED HYBRID 4DR AWD",2019,"Sooke","Person","Vancouver Island",1
"Personal","No","Twodoorcoupe","No","No","Gasoline","No","HONDA","CIVIC TOURING 2DR COUPE",2020,"Burnaby","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","Yes","LAND","DEFENDER 90 SE X-DYN P400 2DR AWD",2023,"Unknown","Person","Unknown",1
"Personal","No","Fourdoorsedan","No","No","Gasoline","No","HYUNDAI","ELANTRA ESSENTIAL 4DR",2022,"Fernie","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","SUBARU","CROSSTREK 5DR AWD",2021,"Cinema","Person","North Central",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","BUICK","ENCORE SPORT TOURING 4DR AWD",2020,"Chemainus","Person","Vancouver Island",1
"Personal","Yes","Fourdoorsedan","No","No","Gasoline","No","VOLKSWAGEN","JETTA GLI 2.0 TSI 4DR",2024,"Saanich","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","CHRYSLER","PACIFICA TOURING-L",2022,"Central Saanich","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","CHEVROLET","TAHOE LT 4DR 4WD",2020,"Delta","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","JEEP","CHEROKEE ALTITUDE 4DR 4WD",2022,"Enderby","Person","Southern Interior",1
"Personal","Yes","Hatchback","No","No","Gasolineelectric","Yes","HYUNDAI","IONIQ PREFERRED HYBRID 4DR HATCHBACK",2020,"Mission","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasolineelectric","Yes","TOYOTA","RAV4 PRIME XSE 4DR AWD",2021,"Thornhill","Person","North Central",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","KIA","SEDONA LX",2020,"Kamloops","Person","Southern Interior",1
"Personal","No","Fourdoorstationwagon","Yes","No","Electric","No","JAGUAR","I-PACE EV400 FIRST EDITION 4DR AWD",2019,"Sooke","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","MAZDA","CX-5 SIGNATURE TURBO 4DR AWD",2019,"Courtenay","Person","Vancouver Island",1
"Personal","Yes","Twodoorsedan","No","No","Gasolineelectric","Yes","MERCEDES-BENZ","E53 HYBRID 4MATIC+ 2DR",2019,"Surrey","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","JEEP","GRAND CHEROKEE TRACKHAWK 4DR 4WD",2020,"Anmore","Person","Lower Mainland",1
"Personal","Yes","Fourdoorsedan","No","No","Gasolineelectric","Yes","PORSCHE","PANAMERA 4 PLATINUM E-HYBRID 4DR AWD",2023,"Vancouver","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","VOLKSWAGEN","ATLAS COMFORTLINE V6 4DR AWD",2021,"Spallumcheen","Person","Southern Interior",1
"Personal","Yes","Hatchback","No","No","Gasoline","No","NISSAN","MICRA S 4DR HATCHBACK",2019,"Qualicum Beach","Person","Vancouver Island",1
"Personal","Yes","Fourdoorsedan","No","No","Gasoline","Yes","VOLVO","S90 INSCRIPTION B6 4DR AWD",2022,"Oak Bay","Person","Vancouver Island",1
